latitudine,longitudine,chilometri,STRADA,feriti
45.42358084830101,8.188134460224246,49,A04,1
44.93701779453611,11.616008085968852,49,A13,2
44.94249708570016,11.626048716218936,50,A13,2
44.94842048723647,11.635504794774072,51,A13,1
45.43600840973737,8.222210194412975,52,A04,1
45.44046558982166,8.247032943246419,54,A04,1
44.972609421060106,11.652629551526504,54,A13,6
44.98044797671276,11.6588149568606,55,A13,1
45.44679152871751,8.284403463691527,57,A04,2
45.45086803029659,8.30932297320334,59,A04,1
45.01158379329652,11.68407389214786,59,A13,1
45.45287745413296,8.321818221197832,60,A04,1
45.457003364202826,8.346765112110683,62,A04,1
45.034398854319335,11.704501761733107,62,A13,3
45.45909799862255,8.359233294480315,63,A04,2
45.46078862270384,8.371800319446915,64,A04,1
45.46530013100243,8.448420946103273,70,A04,1
45.10610036847087,11.757352096157982,71,A13,1
45.46721560394752,8.473924474122136,72,A04,1
45.46814642022294,8.486671199280932,73,A04,2
45.12131302086137,11.770921443233044,73,A13,2
45.46910430453904,8.499419697978688,74,A04,5
45.1299725354328,11.773919173483124,74,A13,4
45.47004404673048,8.512200772172843,75,A04,3
45.47096157672283,8.524945785722183,76,A04,1
45.14789992869681,11.775358417597008,76,A13,1
45.47192461721162,8.537670185599035,77,A04,1
45.47385814814821,8.563151472778321,79,A04,2
45.18381025358413,11.77638056306344,80,A13,1
45.19283715216976,11.77555854872583,81,A13,3
45.473195230240265,8.601330226997538,82,A04,1
45.201869017811205,11.77471341428375,82,A13,1
45.471348237271854,8.613872956001329,83,A04,1
45.21085264931734,11.774636947856198,83,A13,2
45.219773079086586,11.7747128185614,84,A13,4
45.228749346337445,11.77459092654728,85,A13,3
45.46887226895402,8.652058846794151,86,A04,1
45.46868416621689,8.664858347895162,87,A04,3
45.25561329531299,11.7760802734993,88,A13,5
45.46826281365193,8.690446634922052,89,A04,4
45.26407299662954,11.780395927033966,89,A13,1
45.468082233089135,8.703235406466355,90,A04,4
45.46778125190311,8.716088509903422,91,A04,1
45.28008820443974,11.791749851536476,91,A13,7
45.46758562127328,8.728877282664195,92,A04,2
45.29465391356197,11.80673546244538,93,A13,2
45.46742008713704,8.754605030797848,94,A04,4
45.30157941264431,11.814921073383063,94,A13,9
45.46804458374636,8.7674474136012,95,A04,2
45.30910771921225,11.821700021679398,95,A13,5
45.46901519815107,8.780171813288973,96,A04,5
45.32525986652524,11.832969209522968,97,A13,2
45.47014379851291,8.8057600871307,98,A04,1
45.33315648807173,11.839161616847605,98,A13,2
45.472273029659895,8.81810897780647,99,A04,2
45.33887146355571,11.848322490046854,99,A13,2
45.481063074560375,8.840430610204573,101,A04,1
45.4852590216934,8.851783876515563,102,A04,1
45.49202396124591,8.875525459122533,104,A04,2
45.49431916445613,8.887898353682962,105,A04,1
45.35003517865567,11.923015144563328,105,A13,2
45.49634753779631,8.900455483756339,106,A04,1
