latitudine,longitudine,chilometri
45.577296408680624, 9.4063224445881,147
45.579587325783535, 9.418687744045863,148
45.581925944298256, 9.431155205513454,149
45.58432561249899, 9.443496246421871,150
45.586695550579684, 9.455903122122455,151
45.5891704675059, 9.468230477306546,152
45.591468641666694, 9.480611270496476,153
45.59380153335526, 9.493052131982228,154
45.59686872877082, 9.505129174676492,155
45.60094350209351, 9.516626073157372,156
45.604794953445214, 9.52807766968817,157
45.608668750333756, 9.539662667395419,158
45.61256012945705, 9.551273182766689,159
45.61637758623756, 9.562783900581561,160
45.62050044477714, 9.574547521626094,161
45.62463868102638, 9.585768116828895,162
45.63031284215498, 9.595848831211638,163
45.6358620802352, 9.605851737009504,164
45.64146338544347, 9.616091764628768,165
45.64698386709677, 9.626048124338682,166
45.65241381017222, 9.63609031485906,167
